name,start_time,"miso"
"SPI",3.33906716,0x1A
"SPI",3.33925544,0x01
"SPI",3.33944372,0x00
"SPI",3.33963196,0x80
"SPI",3.46597548,0x1A
"SPI",3.4661826,0x00
"SPI",3.46638972,0x00
"SPI",3.466578,0x80
"SPI",6.06522332,0x1A
"SPI",6.0654116,0x04
"SPI",6.06559988,0x00
"SPI",6.0657882,0x80
"SPI",6.20800188,0x1A
"SPI",6.20819016,0x00
"SPI",6.20837844,0x00
"SPI",6.20856672,0x80
"SPI",8.55458248,0x1A
"SPI",8.55477076,0x10
"SPI",8.55495908,0x00
"SPI",8.55514736,0x80
"SPI",8.71323896,0x1A
"SPI",8.71344608,0x00
"SPI",8.71363436,0x00
"SPI",8.71382264,0x80
"SPI",10.2293579,0x1A
"SPI",10.2295462,0x02
"SPI",10.2297345,0x00
"SPI",10.2299227,0x80
"SPI",10.3721606,0x1A
"SPI",10.3723488,0x00
"SPI",10.3725371,0x00
"SPI",10.3727254,0x80
"SPI",12.1318733,0x1A
"SPI",12.1320616,0x08
"SPI",12.1322498,0x00
"SPI",12.1324381,0x80
"SPI",12.2429356,0x1A
"SPI",12.2431239,0x00
"SPI",12.2433122,0x00
"SPI",12.2435005,0x80
