name,start_time,"miso"
"SPI",0.73410348,0x1A
"SPI",0.7342916,0x00
"SPI",0.73447976,0x01
"SPI",0.73466788,0xC0
"SPI",0.79779716,0x1A
"SPI",0.79800412,0x00
"SPI",0.79819228,0x01
"SPI",0.7983804,0x80
"SPI",5.21247832,0x1A
"SPI",5.21266648,0x00
"SPI",5.21285464,0x16
"SPI",5.21304284,0xC0
"SPI",5.3080122,0x1A
"SPI",5.3082004,0x00
"SPI",5.30838856,0x16
"SPI",5.30857668,0x80
"SPI",7.41595168,0x1A
"SPI",7.41613984,0x00
"SPI",7.416328,0x31
"SPI",7.41651616,0xC0
"SPI",7.49557228,0x1A
"SPI",7.49576044,0x00
"SPI",7.49594864,0x31
"SPI",7.4961368,0x80
"SPI",9.19807828,0x1A
"SPI",9.19828528,0x00
"SPI",9.19847344,0x4A
"SPI",9.1986616,0xC0
"SPI",9.24583456,0x1A
"SPI",9.24604152,0x00
"SPI",9.24624848,0x4A
"SPI",9.24643668,0x80
