name,start_time,miso
SPI,0.73742504,0x1A
SPI,0.7376132,0x00
SPI,0.73780132,0x5F
SPI,0.73798948,0xC0
SPI,1.58176792,0x1A
SPI,1.58195604,0x00
SPI,1.5821442,0x00
SPI,1.58233236,0xC0
SPI,1.59770088,0x1A
SPI,1.597889,0x00
SPI,1.59807716,0x01
SPI,1.59826532,0xC0
SPI,1.62955532,0x1A
SPI,1.62974344,0x00
SPI,1.6299316,0x02
SPI,1.63011976,0xC0
SPI,1.64548528,0x1A
SPI,1.6456922,0x00
SPI,1.64589916,0x03
SPI,1.64608732,0xC0
SPI,1.66141344,0x1A
SPI,1.66160152,0x00
SPI,1.66178964,0x04
SPI,1.66197772,0xC0
SPI,1.67734476,0x1A
SPI,1.67755172,0x00
SPI,1.67775868,0x06
SPI,1.6779468,0xC0
SPI,1.6932806,0x1A
SPI,1.69346872,0x00
SPI,1.69365684,0x07
SPI,1.693845,0xC0
SPI,1.7092096,0x1A
SPI,1.70939768,0x00
SPI,1.7095858,0x08
SPI,1.70977392,0xC0
SPI,1.72513892,0x1A
SPI,1.72532704,0x00
SPI,1.72551516,0x09
SPI,1.72570328,0xC0
SPI,1.74105676,0x1A
SPI,1.74124488,0x00
SPI,1.74143304,0x0B
SPI,1.7416212,0xC0
SPI,1.75698732,0x1A
SPI,1.75719428,0x00
SPI,1.75740124,0x0C
SPI,1.7575894,0xC0
SPI,1.77290988,0x1A
SPI,1.773098,0x00
SPI,1.77328612,0x0D
SPI,1.77347424,0xC0
SPI,1.78884232,0x1A
SPI,1.78903048,0x00
SPI,1.7892186,0x0F
SPI,1.78940676,0xC0
SPI,1.80476492,0x1A
SPI,1.80495304,0x00
SPI,1.80514116,0x10
SPI,1.80532928,0xC0
SPI,1.82068604,0x1A
SPI,1.82087416,0x00
SPI,1.82106232,0x11
SPI,1.82125048,0xC0
SPI,1.83661848,0x1A
SPI,1.83682544,0x00
SPI,1.83701356,0x12
SPI,1.83720172,0xC0
SPI,1.85254376,0x1A
SPI,1.85275068,0x00
SPI,1.85295768,0x13
SPI,1.85314584,0xC0
SPI,1.86848088,0x1A
SPI,1.86866904,0x00
SPI,1.8688572,0x14
SPI,1.86904536,0xC0
SPI,1.88440656,0x1A
SPI,1.88461352,0x00
SPI,1.88480164,0x16
SPI,1.8849898,0xC0
SPI,1.90034136,0x1A
SPI,1.90052948,0x00
SPI,1.9007176,0x17
SPI,1.90090572,0xC0
SPI,1.93219652,0x1A
SPI,1.93240348,0x00
SPI,1.93259164,0x18
SPI,1.93277976,0xC0
SPI,1.94812452,0x1A
SPI,1.94831264,0x00
SPI,1.9485008,0x19
SPI,1.94868896,0xC0
SPI,1.96405848,0x1A
SPI,1.96426544,0x00
SPI,1.96445356,0x1B
SPI,1.96464168,0xC0
SPI,1.97999108,0x1A
SPI,1.9801792,0x00
SPI,1.98036736,0x1C
SPI,1.98055548,0xC0
SPI,1.99591512,0x1A
SPI,1.99610328,0x00
SPI,1.9962914,0x1D
SPI,1.99647956,0xC0
SPI,2.02777808,0x1A
SPI,2.02798504,0x00
SPI,2.02817316,0x1E
SPI,2.02836128,0xC0
SPI,2.04370868,0x1A
SPI,2.0438968,0x00
SPI,2.04408496,0x1F
SPI,2.04427308,0xC0
SPI,2.05963524,0x1A
SPI,2.05982336,0x00
SPI,2.06001156,0x20
SPI,2.06019968,0xC0
SPI,2.0755582,0x1A
SPI,2.07574632,0x00
SPI,2.07593448,0x21
SPI,2.07612264,0xC0
SPI,2.091489,0x1A
SPI,2.09169596,0x00
SPI,2.09190292,0x23
SPI,2.09209108,0xC0
SPI,2.10742276,0x1A
SPI,2.10761088,0x00
SPI,2.107799,0x24
SPI,2.10798712,0xC0
SPI,2.12335188,0x1A
SPI,2.12354004,0x00
SPI,2.12372816,0x25
SPI,2.12391628,0xC0
SPI,2.1392886,0x1A
SPI,2.13947676,0x00
SPI,2.13966488,0x27
SPI,2.13985304,0xC0
SPI,2.15521304,0x1A
SPI,2.1554012,0x00
SPI,2.15558936,0x28
SPI,2.15579636,0xC0
SPI,2.17114132,0x1A
SPI,2.17132948,0x00
SPI,2.1715176,0x29
SPI,2.17170576,0xC0
SPI,2.18707716,0x1A
SPI,2.18726528,0x00
SPI,2.18745344,0x2A
SPI,2.1876416,0xC0
SPI,2.20300292,0x1A
SPI,2.20320984,0x00
SPI,2.20339796,0x2C
SPI,2.20358608,0xC0
SPI,2.21892844,0x1A
SPI,2.21911656,0x00
SPI,2.21930468,0x2E
SPI,2.2194928,0xC0
SPI,2.2348542,0x1A
SPI,2.23504232,0x00
SPI,2.23523048,0x2F
SPI,2.2354186,0xC0
SPI,2.25078916,0x1A
SPI,2.25099608,0x00
SPI,2.25118424,0x31
SPI,2.25137236,0xC0
SPI,2.26671872,0x1A
SPI,2.26692564,0x00
SPI,2.26713256,0x32
SPI,2.26732068,0xC0
SPI,2.2826496,0x1A
SPI,2.28285656,0x00
SPI,2.28304472,0x33
SPI,2.28323284,0xC0
SPI,2.29857316,0x1A
SPI,2.29876128,0x00
SPI,2.2989494,0x34
SPI,2.29913752,0xC0
SPI,2.31450876,0x1A
SPI,2.31469688,0x00
SPI,2.314885,0x35
SPI,2.31507312,0xC0
SPI,2.33043432,0x1A
SPI,2.33064128,0x00
SPI,2.33084824,0x36
SPI,2.33103636,0xC0
SPI,2.36229888,0x1A
SPI,2.362487,0x00
SPI,2.36267512,0x37
SPI,2.36286328,0xC0
SPI,2.37821984,0x1A
SPI,2.378408,0x00
SPI,2.37859612,0x39
SPI,2.37878428,0xC0
SPI,2.39414612,0x1A
SPI,2.39435304,0x00
SPI,2.39455996,0x3C
SPI,2.39474808,0xC0
SPI,2.41007132,0x1A
SPI,2.41025944,0x00
SPI,2.41044756,0x3E
SPI,2.41063568,0xC0
SPI,2.42599796,0x1A
SPI,2.42618608,0x00
SPI,2.4263742,0x40
SPI,2.42656232,0xC0
SPI,2.4419308,0x1A
SPI,2.44211896,0x00
SPI,2.44230708,0x42
SPI,2.44249524,0xC0
SPI,2.45785576,0x1A
SPI,2.45806268,0x00
SPI,2.45826964,0x44
SPI,2.45845776,0xC0
SPI,2.47378292,0x1A
SPI,2.47397104,0x00
SPI,2.47415916,0x45
SPI,2.47434732,0xC0
SPI,2.4897178,0x1A
SPI,2.48990592,0x00
SPI,2.49009404,0x47
SPI,2.4902822,0xC0
SPI,2.50564136,0x1A
SPI,2.50582948,0x00
SPI,2.5060176,0x49
SPI,2.50620576,0xC0
SPI,2.52157636,0x1A
SPI,2.52176452,0x00
SPI,2.52195268,0x4A
SPI,2.52214084,0xC0
SPI,2.53750916,0x1A
SPI,2.53769732,0x00
SPI,2.53788544,0x4B
SPI,2.5380736,0xC0
SPI,2.55343032,0x1A
SPI,2.55363728,0x00
SPI,2.5538254,0x4C
SPI,2.55401352,0xC0
SPI,2.56935536,0x1A
SPI,2.56956228,0x00
SPI,2.5697504,0x4D
SPI,2.56993856,0xC0
SPI,2.58528444,0x1A
SPI,2.58547256,0x00
SPI,2.58566072,0x4E
SPI,2.58584884,0xC0
SPI,2.60120916,0x1A
SPI,2.60141612,0x00
SPI,2.60160428,0x4F
SPI,2.6017924,0xC0
SPI,2.61713996,0x1A
SPI,2.61732808,0x00
SPI,2.61751616,0x50
SPI,2.61770428,0xC0
SPI,2.63307012,0x1A
SPI,2.63325824,0x00
SPI,2.63344636,0x51
SPI,2.63363452,0xC0
SPI,2.664925,0x1A
SPI,2.66511312,0x00
SPI,2.66530124,0x52
SPI,2.66548936,0xC0
SPI,2.68085984,0x1A
SPI,2.68104796,0x00
SPI,2.68123612,0x54
SPI,2.68142424,0xC0
SPI,2.69679364,0x1A
SPI,2.6969818,0x00
SPI,2.69716992,0x55
SPI,2.69735808,0xC0
SPI,2.71273032,0x1A
SPI,2.71291844,0x00
SPI,2.71310656,0x56
SPI,2.71329468,0xC0
SPI,2.72865932,0x1A
SPI,2.72884744,0x00
SPI,2.7290356,0x57
SPI,2.72922376,0xC0
SPI,2.74459116,0x1A
SPI,2.74477924,0x00
SPI,2.7449674,0x58
SPI,2.74515552,0xC0
SPI,2.7605178,0x1A
SPI,2.76070592,0x00
SPI,2.76089404,0x59
SPI,2.7610822,0xC0
SPI,2.77643996,0x1A
SPI,2.77662812,0x00
SPI,2.77681624,0x5A
SPI,2.77700436,0xC0
SPI,2.80829272,0x1A
SPI,2.80848084,0x00
SPI,2.808669,0x5B
SPI,2.80885712,0xC0
SPI,2.84015796,0x1A
SPI,2.84034608,0x00
SPI,2.84053424,0x5C
SPI,2.8407224,0xC0
SPI,2.85609168,0x1A
SPI,2.85629864,0x00
SPI,2.8564868,0x5D
SPI,2.85667492,0xC0
SPI,2.87201916,0x1A
SPI,2.87220728,0x00
SPI,2.87239544,0x5E
SPI,2.8725836,0xC0
SPI,2.9038762,0x1A
SPI,2.90406432,0x00
SPI,2.90425244,0x5F
SPI,2.90444056,0xC0
SPI,2.95166772,0x1A
SPI,2.95185588,0x00
SPI,2.95204404,0x00
SPI,2.9522322,0xC0
SPI,3.01537916,0x1A
SPI,3.01556724,0x00
SPI,3.01575536,0x01
SPI,3.01594348,0xC0
SPI,3.5888152,0x1A
SPI,3.58900332,0x00
SPI,3.58919144,0x02
SPI,3.5893796,0xC0
SPI,3.60474004,0x1A
SPI,3.60494696,0x00
SPI,3.60515392,0x02
SPI,3.60534208,0x80
