name,start_time,"miso"
"SPI",0.45986444,0x1A
"SPI",0.46005256,0x00
"SPI",0.46024068,0x00
"SPI",0.46042884,0xC0
"SPI",0.95356836,0x1A
"SPI",0.95375648,0x00
"SPI",0.9539446,0x5F
"SPI",0.95413276,0xC0
"SPI",0.96949652,0x1A
"SPI",0.96970348,0x00
"SPI",0.9698916,0x5E
"SPI",0.97007976,0xC0
"SPI",0.98542068,0x1A
"SPI",0.9856088,0x00
"SPI",0.98579692,0x5D
"SPI",0.98598504,0xC0
"SPI",1.0013488,0x1A
"SPI",1.00155572,0x00
"SPI",1.00176264,0x5C
"SPI",1.0019508,0xC0
"SPI",1.01727764,0x1A
"SPI",1.0174658,0x00
"SPI",1.01765396,0x5B
"SPI",1.01784208,0xC0
"SPI",1.03320124,0x1A
"SPI",1.03340816,0x00
"SPI",1.03361508,0x5A
"SPI",1.0338032,0xC0
"SPI",1.0491234,0x1A
"SPI",1.04933032,0x00
"SPI",1.04953728,0x59
"SPI",1.04972544,0xC0
"SPI",1.0650496,0x1A
"SPI",1.06525652,0x00
"SPI",1.06544468,0x57
"SPI",1.0656328,0xC0
"SPI",1.08097096,0x1A
"SPI",1.08115908,0x00
"SPI",1.0813472,0x56
"SPI",1.08153532,0xC0
"SPI",1.0968988,0x1A
"SPI",1.09710572,0x00
"SPI",1.09729384,0x55
"SPI",1.09748196,0xC0
"SPI",1.1128176,0x1A
"SPI",1.11300572,0x00
"SPI",1.11319384,0x54
"SPI",1.113382,0xC0
"SPI",1.12874924,0x1A
"SPI",1.12893736,0x00
"SPI",1.12912548,0x53
"SPI",1.1293136,0xC0
"SPI",1.14467412,0x1A
"SPI",1.14486224,0x00
"SPI",1.14505036,0x52
"SPI",1.14523852,0xC0
"SPI",1.16058856,0x1A
"SPI",1.16079548,0x00
"SPI",1.1610024,0x51
"SPI",1.16119052,0xC0
"SPI",1.17652332,0x1A
"SPI",1.17671144,0x00
"SPI",1.17689956,0x50
"SPI",1.17708772,0xC0
"SPI",1.19244084,0x1A
"SPI",1.19262896,0x00
"SPI",1.19281708,0x4F
"SPI",1.1930052,0xC0
"SPI",1.20836868,0x1A
"SPI",1.20857564,0x00
"SPI",1.20876376,0x4E
"SPI",1.20895192,0xC0
"SPI",1.22429688,0x1A
"SPI",1.224485,0x00
"SPI",1.22467312,0x4D
"SPI",1.22486124,0xC0
"SPI",1.25615076,0x1A
"SPI",1.25633888,0x00
"SPI",1.256527,0x4C
"SPI",1.25671512,0xC0
"SPI",1.27207272,0x1A
"SPI",1.27226084,0x00
"SPI",1.27244896,0x4A
"SPI",1.27263704,0xC0
"SPI",1.28799328,0x1A
"SPI",1.2881814,0x00
"SPI",1.28836952,0x49
"SPI",1.28855764,0xC0
"SPI",1.31985096,0x1A
"SPI",1.32005788,0x00
"SPI",1.3202648,0x48
"SPI",1.32045292,0xC0
"SPI",1.33577976,0x1A
"SPI",1.33596788,0x00
"SPI",1.336156,0x47
"SPI",1.33634412,0xC0
"SPI",1.35170312,0x1A
"SPI",1.35189124,0x00
"SPI",1.35207936,0x46
"SPI",1.35226748,0xC0
"SPI",1.36762172,0x1A
"SPI",1.36782864,0x00
"SPI",1.3680168,0x44
"SPI",1.36820496,0xC0
"SPI",1.38354684,0x1A
"SPI",1.3837538,0x00
"SPI",1.38394196,0x43
"SPI",1.38413008,0xC0
"SPI",1.41539532,0x1A
"SPI",1.4155834,0x00
"SPI",1.41577152,0x42
"SPI",1.41595964,0xC0
"SPI",1.431315,0x1A
"SPI",1.43150316,0x00
"SPI",1.43169128,0x41
"SPI",1.4318794,0xC0
"SPI",1.44724408,0x1A
"SPI",1.44745104,0x00
"SPI",1.447658,0x40
"SPI",1.44784612,0xC0
"SPI",1.46317564,0x1A
"SPI",1.46336376,0x00
"SPI",1.46355188,0x3F
"SPI",1.46374004,0xC0
"SPI",1.47910136,0x1A
"SPI",1.47930832,0x00
"SPI",1.47949644,0x3E
"SPI",1.47968456,0xC0
"SPI",1.49502648,0x1A
"SPI",1.4952334,0x00
"SPI",1.49544032,0x3D
"SPI",1.49562844,0xC0
"SPI",1.51095468,0x1A
"SPI",1.5111428,0x00
"SPI",1.51133092,0x3C
"SPI",1.51151904,0xC0
"SPI",1.52687972,0x1A
"SPI",1.52708664,0x00
"SPI",1.52727476,0x3B
"SPI",1.52746292,0xC0
"SPI",1.542805,0x1A
"SPI",1.54299312,0x00
"SPI",1.54318124,0x3A
"SPI",1.54336936,0xC0
"SPI",1.55873196,0x1A
"SPI",1.55893888,0x00
"SPI",1.5591458,0x38
"SPI",1.55933396,0xC0
"SPI",1.57465728,0x1A
"SPI",1.5748642,0x00
"SPI",1.57507112,0x37
"SPI",1.57525924,0xC0
"SPI",1.59058712,0x1A
"SPI",1.5907752,0x00
"SPI",1.59096332,0x35
"SPI",1.59115144,0xC0
"SPI",1.62243592,0x1A
"SPI",1.62264284,0x00
"SPI",1.62284976,0x34
"SPI",1.62303788,0xC0
"SPI",1.6383638,0x1A
"SPI",1.63857076,0x00
"SPI",1.63875888,0x32
"SPI",1.638947,0xC0
"SPI",1.65429144,0x1A
"SPI",1.65447956,0x00
"SPI",1.65466772,0x31
"SPI",1.65485584,0xC0
"SPI",1.67021352,0x1A
"SPI",1.67040164,0x00
"SPI",1.67058976,0x30
"SPI",1.67077788,0xC0
"SPI",1.68613552,0x1A
"SPI",1.68632364,0x00
"SPI",1.6865118,0x2F
"SPI",1.68669992,0xC0
"SPI",1.70206636,0x1A
"SPI",1.70227328,0x00
"SPI",1.7024802,0x2E
"SPI",1.70266836,0xC0
"SPI",1.71799588,0x1A
"SPI",1.718184,0x00
"SPI",1.71837212,0x2C
"SPI",1.71856028,0xC0
"SPI",1.73391216,0x1A
"SPI",1.73411908,0x00
"SPI",1.73432604,0x2B
"SPI",1.73451416,0xC0
"SPI",1.74983304,0x1A
"SPI",1.75002116,0x00
"SPI",1.75020932,0x2A
"SPI",1.75039744,0xC0
"SPI",1.76576432,0x1A
"SPI",1.76597128,0x00
"SPI",1.76615944,0x29
"SPI",1.76634756,0xC0
"SPI",1.78168992,0x1A
"SPI",1.78187808,0x00
"SPI",1.7820662,0x28
"SPI",1.78225436,0xC0
"SPI",1.79762172,0x1A
"SPI",1.79780984,0x00
"SPI",1.797998,0x26
"SPI",1.79818616,0xC0
